"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g1",608.87712620036,-2.08778296818304,0.653471389256063,-3.19491105886036,0.00139873938851429,0.0114356395952857
"g2",75.755433142294,-2.05040014138556,0.708065647492136,-2.89577689391905,0.00378221192977123,0.0227308432203139
"g3",36.77589384651,-0.504168381957664,0.729438840158762,-0.691172932124004,0.489456871938519,0.652249796305736
"g4",176.10105159864,-1.97849264255181,0.672175775627721,-2.94341556820337,0.00324612354007319,0.0204858197808319
"g5",116.950020000153,0.691919719211242,0.674131448689881,1.02638694657538,0.304709228441224,0.485981765923394
"g6",871.678069596791,-0.380085123234718,0.648926939044944,-0.585713275818241,0.5580682111395,0.704376775534209
"g7",33.4138888013887,-3.70732833907833,0.931570071224203,-3.97965590951888,6.90150867138564e-05,0.00104619834145909
"g8",3.68244492387595,-5.39664024837275,2.20823526304207,-2.44387015219489,0.0145306552369949,0.061337266787012
"g9",307.577508035058,-0.849455652434786,0.656368152355194,-1.29417560767802,0.195604770213776,0.367518279438926
"g10",16.8517393501753,-1.34824957408637,0.845519856280249,-1.59458061696837,0.110806049893407,0.256774270448807
"g11",0,NA,NA,NA,NA,NA
"g12",7950.43430610637,-0.830335622598081,0.645626953327127,-1.28609194259795,0.198410975801784,0.370108860308569
"g13",9729.84282620877,-1.15398206963569,0.645572880590206,-1.78753182534662,0.0738515730840875,0.193700296456097
"g14",1061.44939453412,-1.64550303415638,0.649216357362244,-2.53459885213311,0.0112576159410908,0.0512262246716577
"g15",196.418748046116,-0.949579051073964,0.662944686178607,-1.43236543088926,0.152039266430658,0.313580987013232
"g16",1090.83867024333,-1.07456571726171,0.648513817293107,-1.6569665728125,0.0975262334611595,0.232908044384217
"g17",0,NA,NA,NA,NA,NA
"g18",1088.68291366782,0.7133937929814,0.64837552973196,1.10027871236337,0.271210704317354,0.449541030443834
"g19",3885.17110250082,1.12473023208273,0.646174180893543,1.74059915319957,0.0817538661919536,0.207239199913961
"g20",312.292632213049,0.901363283214114,0.65665156245329,1.37266601460075,0.169856199103478,0.329432453915853
"g21",1407.6829264947,2.00396705707169,0.6488828053977,3.08833435005795,0.00201281872565301,0.0149739035612466
"g22",740.238228471797,-2.63490124127781,0.653931655787427,-4.02932205217227,5.59379408425939e-05,0.000898472235657592
"g23",31.3958811988969,-0.809581213771286,0.746839780707629,-1.08400922752697,0.278360707524009,0.456693568836853
