# Program:featureCounts v2.1.1; Command:"featureCounts" "-p" "-t" "exon" "-g" "gene_id" "-a" "/home/ellal/genome_analysis/analyses/05_annotation/braker/braker_cleaned.gtf" "-o" "/home/ellal/genome_analysis/analyses/06_expression/read_counts.txt" "/home/ellal/genome_analysis/analyses/05_annotation/hisat2_mapped_data/Control_1.sorted.bam" "/home/ellal/genome_analysis/analyses/05_annotation/hisat2_mapped_data/Treated_1.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/ellal/genome_analysis/analyses/05_annotation/hisat2_mapped_data/Control_1.sorted.bam	/home/ellal/genome_analysis/analyses/05_annotation/hisat2_mapped_data/Treated_1.sorted.bam
g1	tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon	28027;28440;28670;29362;29563;30262;30616;30954;31854	28220;28528;28916;29520;29682;30516;30721;31052;32756	+;+;+;+;+;+;+;+;+	2172	937	244
g2	tig00000001_pilon;tig00000001_pilon;tig00000001_pilon	32896;33622;34158	33043;33659;34481	+;+;+	510	116	31
g3	tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon	37559;37780;38723;39089	37615;38031;38789;39453	-;-;-;-	741	41	32
g4	tig00000001_pilon	41418	42668	+	1251	267	75
g5	tig00000001_pilon	43121	43525	-	405	85	152
g6	tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon	43788;44327;44765;45039;45221	44030;44458;44802;45105;45745	+;+;+;+;+	1005	937	797
g7	tig00000001_pilon	47028	49073	-	2046	59	5
g8	tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon	49198;49725;50173;50781	49367;49905;50561;50898	-;-;-;-	858	7	0
g9	tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon	55510;55510;56223;56223;57407;57407;58225;58225;58781;59089	55809;55809;56518;56518;57812;57812;58446;58448;58799;59262	-;-;-;-;-;-;-;-;-;-	1419	376	231
g10	tig00000001_pilon;tig00000001_pilon	61392;61728	61559;61772	-;-	213	23	10
g11	tig00000001_pilon;tig00000001_pilon	64583;64785	64663;65027	-;-	324	0	0
g12	tig00000001_pilon	65527	66045	+	519	9673	6022
g13	tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon	67109;67631;67977;68451	67142;67709;68362;68992	+;+;+;+	1041	12761	6348
g14	tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon	70448;70448;70448;70650;70650;70650;70949;70949;70949;71162;71162;71162;71374;71374;71374;71614;71614;71614;71801;71840;71840;71939;72220;72220;72220;72220;72600;72600;72600;72600;72976;72976;72976;72976;73152;73152;73152;73389;73389;73389;73389;73648;73648;73648;73648;74091;74091;74091;74091	70536;70536;70536;70758;70758;70758;71029;71029;71029;71174;71174;71174;71438;71438;71438;71706;71706;71706;71921;71921;71921;71996;72365;72365;72365;72365;72696;72696;72696;72701;73018;73018;73018;73247;73247;73247;73247;73437;73437;73437;73437;73716;73716;73716;73716;74210;74210;74210;74210	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1387	1529	541
g15	tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon;tig00000001_pilon	89690;89690;90021;90185;90625;90625;90878;90909;91115;91115	89948;89948;90120;90258;90751;90751;90963;90963;91151;91151	+;+;+;+;+;+;+;+;+;+	683	246	141
